,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,Game,Home,MP,ORB,PF,PTS,STL,TOV,TP,TPA,TPP,TRB,Team,Win,X,Y,Year
0,30,9,31,48,89,0.539,13,15,0.867,1,1,240,12,24,109,5,17,0,0,,43,Lakers,1,1,,1980
1,32,7,37,48,95,0.505,8,12,0.667,2,1,240,15,27,104,12,26,0,1,0.0,52,Lakers,0,2,,1980
2,20,5,34,44,92,0.478,23,30,0.767,3,0,240,22,25,111,5,20,0,1,0.0,56,Lakers,1,3,,1980
3,23,6,31,44,93,0.473,14,19,0.737,4,0,240,18,22,102,12,19,0,0,,49,Lakers,0,4,,1980
4,28,6,37,41,91,0.451,26,33,0.7879999999999999,5,1,240,19,27,108,7,21,0,0,,56,Lakers,1,5,,1980
5,27,4,35,45,92,0.489,33,35,0.943,6,0,240,17,22,123,14,17,0,2,0.0,52,Lakers,1,6,,1980
6,23,5,29,41,95,0.43200000000000005,16,20,0.8,1,1,240,25,21,98,6,19,0,1,0.0,54,Celtics,1,7,,1981
7,17,7,34,41,82,0.5,8,13,0.615,2,1,240,14,27,90,6,22,0,3,0.0,48,Celtics,0,8,,1981
8,24,6,28,40,89,0.449,12,19,0.632,3,0,240,16,25,94,12,11,2,3,0.667,44,Celtics,1,9,,1981
9,22,6,30,35,74,0.473,16,24,0.667,4,0,240,17,22,86,5,22,0,3,0.0,47,Celtics,0,10,,1981
10,25,8,35,41,94,0.436,27,35,0.7709999999999999,5,1,240,19,23,109,5,14,0,3,0.0,54,Celtics,1,11,,1981
11,26,0,28,43,78,0.551,15,18,0.833,6,0,240,9,21,102,6,13,1,4,0.25,37,Celtics,1,12,,1981
12,34,7,31,49,93,0.527,26,35,0.743,1,0,240,19,26,124,11,22,0,0,,50,Lakers,1,13,,1982
13,25,6,22,35,83,0.42200000000000004,24,37,0.649,2,0,240,17,21,94,11,18,0,5,0.0,39,Lakers,0,14,,1982
14,30,5,31,50,91,0.5489999999999999,28,47,0.596,3,1,240,17,30,129,15,18,1,1,1.0,48,Lakers,1,15,,1982
15,35,4,33,45,97,0.46399999999999997,21,29,0.7240000000000001,4,1,240,16,21,111,10,12,0,1,0.0,49,Lakers,1,16,,1982
16,31,9,23,47,100,0.47,8,16,0.5,5,0,240,26,29,102,5,24,0,2,0.0,49,Lakers,0,17,,1982
17,33,11,34,47,87,0.54,20,25,0.8,6,1,240,15,26,114,12,22,0,0,,49,Lakers,1,18,,1982
18,26,13,32,45,96,0.469,23,31,0.742,1,1,240,21,22,113,11,14,0,0,,53,Sixers,1,19,,1983
19,22,6,28,40,83,0.48200000000000004,23,32,0.7190000000000001,2,1,240,16,16,103,10,18,0,1,0.0,44,Sixers,1,20,,1983
20,27,2,32,45,94,0.479,21,35,0.6,3,0,240,22,23,111,14,19,0,1,0.0,54,Sixers,1,21,,1983
21,29,11,28,42,81,0.519,31,40,0.775,4,0,240,13,28,115,9,17,0,1,0.0,41,Sixers,1,22,,1983
22,25,4,30,43,83,0.518,28,32,0.875,1,1,240,12,30,115,10,16,1,2,0.5,42,Celtics,1,23,,1984
23,20,4,30,45,98,0.45899999999999996,34,48,0.708,2,1,265,20,27,124,13,17,0,2,0.0,50,Celtics,0,24,,1984
24,23,5,27,40,101,0.396,22,31,0.71,3,0,240,17,33,104,5,13,2,5,0.4,44,Celtics,0,25,,1984
25,30,3,25,48,111,0.43200000000000005,31,37,0.838,4,0,265,27,28,129,15,14,2,4,0.5,52,Celtics,1,26,,1984
26,28,5,38,45,87,0.517,28,36,0.778,5,1,240,13,32,121,8,18,3,5,0.6,51,Celtics,1,27,,1984
27,25,8,28,39,84,0.46399999999999997,29,35,0.8290000000000001,6,0,240,13,24,108,7,19,1,3,0.33299999999999996,41,Celtics,0,28,,1984
28,18,3,32,34,86,0.395,43,51,0.843,7,1,240,20,23,111,11,14,0,2,0.0,52,Celtics,1,29,,1984
29,28,4,27,49,100,0.49,14,21,0.667,1,0,240,8,23,114,9,12,2,5,0.4,35,Lakers,0,30,,1985
30,31,5,35,44,92,0.478,20,29,0.69,2,0,240,14,32,109,9,16,1,2,0.5,49,Lakers,1,31,,1985
31,34,6,36,52,96,0.542,28,36,0.778,3,1,240,13,28,136,12,12,4,8,0.5,49,Lakers,1,32,,1985
32,32,0,31,40,83,0.48200000000000004,24,29,0.828,4,1,240,9,24,105,7,14,1,4,0.25,40,Lakers,0,33,,1985
33,40,7,29,50,88,0.568,20,27,0.741,5,1,240,10,19,120,8,9,0,2,0.0,39,Lakers,1,34,,1985
34,27,2,32,43,84,0.512,25,36,0.6940000000000001,6,0,240,12,26,111,10,12,0,2,0.0,44,Lakers,1,35,,1985
35,35,5,32,47,84,0.56,17,27,0.63,1,1,240,10,17,112,15,17,1,4,0.25,42,Celtics,1,36,,1986
36,28,8,29,45,90,0.5,23,24,0.958,2,1,240,14,20,117,9,12,4,9,0.444,43,Celtics,1,37,,1986
37,28,4,31,42,96,0.43799999999999994,19,21,0.905,3,0,240,22,27,104,12,19,1,5,0.2,53,Celtics,0,38,,1986
38,23,6,29,45,78,0.5770000000000001,14,17,0.8240000000000001,4,0,240,11,17,106,8,15,2,6,0.33299999999999996,40,Celtics,1,39,,1986
39,20,7,27,34,84,0.405,27,31,0.871,5,0,240,10,22,96,6,18,1,6,0.16699999999999998,37,Celtics,0,40,,1986
40,34,13,33,49,101,0.485,12,18,0.667,6,1,240,23,23,111,9,14,1,2,0.5,56,Celtics,1,41,,1986
41,32,6,30,55,99,0.556,15,19,0.789,1,1,240,17,24,126,10,13,1,5,0.2,47,Lakers,1,42,,1987
42,44,8,26,56,91,0.615,23,32,0.7190000000000001,2,1,240,7,25,141,8,10,6,8,0.75,33,Lakers,1,43,,1987
43,18,4,24,40,81,0.494,20,27,0.741,3,0,240,8,24,103,8,10,3,11,0.273,32,Lakers,0,44,,1987
44,17,4,31,41,85,0.48200000000000004,23,32,0.7190000000000001,4,0,240,15,16,107,4,11,2,4,0.5,46,Lakers,1,45,,1987
45,16,4,23,43,95,0.45299999999999996,18,22,0.818,5,0,240,17,26,108,7,12,4,8,0.5,40,Lakers,0,46,,1987
46,33,9,31,45,93,0.484,16,23,0.696,6,1,240,13,28,106,11,11,0,5,0.0,44,Lakers,1,47,,1987
47,21,0,22,33,83,0.39799999999999996,25,27,0.9259999999999999,1,1,240,13,18,93,5,10,2,8,0.25,35,Lakers,0,48,,1988
48,27,5,35,35,77,0.455,35,46,0.7609999999999999,2,1,240,8,25,108,6,9,3,6,0.5,43,Lakers,1,49,,1988
49,21,6,33,37,72,0.514,24,34,0.706,3,0,240,5,13,99,8,11,1,3,0.33299999999999996,38,Lakers,1,50,,1988
50,11,3,26,29,72,0.40299999999999997,28,37,0.757,4,0,240,8,30,86,3,16,0,7,0.0,34,Lakers,0,51,,1988
51,26,3,16,37,78,0.474,19,33,0.5760000000000001,5,0,240,15,27,94,7,14,1,4,0.25,31,Lakers,0,52,,1988
52,30,3,28,34,72,0.47200000000000003,35,43,0.8140000000000001,6,1,240,13,19,103,6,14,0,2,0.0,41,Lakers,1,53,,1988
53,30,1,31,43,77,0.5579999999999999,19,27,0.7040000000000001,7,1,240,10,22,108,6,18,3,10,0.3,41,Lakers,1,54,,1988
54,26,5,36,46,83,0.5539999999999999,16,21,0.762,1,1,240,9,28,109,2,13,1,2,0.5,45,Pistons,1,55,,1989
55,21,9,22,44,81,0.5429999999999999,19,21,0.905,2,1,240,13,31,108,3,10,1,8,0.125,35,Pistons,1,56,,1989
56,29,3,30,43,83,0.518,27,32,0.8440000000000001,3,0,240,14,30,114,8,13,1,7,0.14300000000000002,44,Pistons,1,57,,1989
57,21,4,27,34,70,0.486,35,51,0.6859999999999999,4,0,240,9,26,105,3,9,2,3,0.667,36,Pistons,1,58,,1989
58,16,5,35,34,91,0.374,34,46,0.7390000000000001,1,1,240,19,25,105,6,13,3,10,0.3,54,Pistons,1,59,,1990
59,25,7,29,41,90,0.456,15,23,0.652,2,1,265,15,28,105,2,18,8,14,0.5710000000000001,44,Pistons,0,60,,1990
60,19,4,26,43,81,0.531,32,41,0.78,3,0,240,10,26,121,3,14,3,10,0.3,36,Pistons,1,61,,1990
61,19,3,27,42,91,0.462,21,24,0.875,4,0,240,12,30,112,8,12,7,16,0.43799999999999994,39,Pistons,1,62,,1990
62,15,6,28,37,81,0.457,14,23,0.609,5,0,240,16,29,92,9,18,4,6,0.667,44,Pistons,1,63,,1990
63,26,5,30,38,80,0.475,14,18,0.778,1,1,240,9,21,91,11,10,1,7,0.14300000000000002,39,Bulls,0,64,,1991
64,35,1,25,50,81,0.617,7,8,0.875,2,1,240,11,20,107,10,14,0,5,0.0,36,Bulls,1,65,,1991
65,23,5,30,41,85,0.48200000000000004,21,24,0.875,3,0,265,16,21,104,10,16,1,3,0.33299999999999996,46,Bulls,1,66,,1991
66,27,8,29,42,80,0.525,12,14,0.857,4,0,240,9,22,97,4,5,1,3,0.33299999999999996,38,Bulls,1,67,,1991
67,28,6,27,42,78,0.5379999999999999,22,28,0.7859999999999999,5,0,240,10,23,108,14,18,2,3,0.667,37,Bulls,1,68,,1991
68,38,7,28,50,91,0.5489999999999999,15,22,0.682,1,1,240,16,21,122,7,11,7,15,0.467,44,Bulls,1,69,,1992
69,34,7,31,41,86,0.47700000000000004,17,26,0.654,2,1,265,10,29,104,5,15,5,15,0.33299999999999996,41,Bulls,0,70,,1992
70,25,5,33,37,78,0.474,19,29,0.655,3,0,240,9,26,94,9,16,1,4,0.25,42,Bulls,1,71,,1992
71,18,1,26,35,77,0.455,14,20,0.7,4,0,240,7,27,88,7,16,4,12,0.33299999999999996,33,Bulls,0,72,,1992
72,26,6,24,40,73,0.5479999999999999,37,45,0.8220000000000001,5,0,240,10,33,119,6,14,2,6,0.33299999999999996,34,Bulls,1,73,,1992
73,20,5,22,38,73,0.521,15,21,0.7140000000000001,6,1,240,9,19,97,8,18,6,13,0.462,31,Bulls,1,74,,1992
74,28,8,31,43,81,0.531,11,19,0.579,1,0,240,10,17,100,10,12,3,8,0.375,41,Bulls,1,75,,1993
75,31,7,26,45,89,0.506,18,25,0.72,2,0,240,17,21,111,10,16,3,7,0.429,43,Bulls,1,76,,1993
76,32,6,32,55,130,0.423,6,9,0.667,3,1,315,27,29,121,8,16,5,13,0.385,59,Bulls,0,77,,1993
77,26,5,30,44,83,0.53,20,33,0.606,4,1,240,12,26,111,8,10,3,9,0.33299999999999996,42,Bulls,1,78,,1993
78,20,4,27,37,79,0.46799999999999997,16,24,0.667,5,1,240,8,22,98,6,9,8,18,0.444,35,Bulls,0,79,,1993
79,24,2,27,39,82,0.47600000000000003,11,20,0.55,6,0,240,12,26,99,6,8,10,14,0.7140000000000001,39,Bulls,1,80,,1993
80,21,4,37,31,74,0.419,19,30,0.633,1,1,240,12,21,85,10,17,4,16,0.25,49,Rockets,1,81,,1994
81,20,5,21,32,82,0.39,13,18,0.722,2,1,240,17,18,83,11,16,6,22,0.273,38,Rockets,0,82,,1994
82,19,7,33,30,75,0.4,27,31,0.871,3,0,240,14,18,93,4,17,6,17,0.353,47,Rockets,1,83,,1994
83,19,5,26,31,72,0.431,14,18,0.778,4,0,240,7,27,82,5,17,6,20,0.3,33,Rockets,0,84,,1994
84,24,4,27,33,81,0.40700000000000003,12,16,0.75,5,0,240,15,21,84,7,18,6,18,0.33299999999999996,42,Rockets,0,85,,1994
85,21,6,32,32,66,0.485,17,23,0.7390000000000001,6,1,240,6,21,86,5,14,5,17,0.294,38,Rockets,1,86,,1994
86,22,5,30,34,73,0.466,18,23,0.7829999999999999,7,1,240,3,23,90,8,9,4,11,0.364,33,Rockets,1,87,,1994
87,31,10,32,44,96,0.45799999999999996,18,23,0.7829999999999999,1,0,265,9,21,120,9,11,14,32,0.43799999999999994,41,Rockets,1,88,,1995
88,18,7,29,39,75,0.52,34,41,0.8290000000000001,2,0,240,9,23,117,13,9,5,14,0.35700000000000004,38,Rockets,1,89,,1995
89,28,2,35,39,84,0.46399999999999997,21,30,0.7,3,1,240,11,21,106,7,9,7,19,0.368,46,Rockets,1,90,,1995
90,28,1,33,40,88,0.455,22,29,0.759,4,1,240,15,18,113,11,10,11,27,0.40700000000000003,48,Rockets,1,91,,1995
91,20,9,23,37,86,0.43,26,31,0.8390000000000001,1,1,240,17,27,107,9,7,7,26,0.26899999999999996,40,Bulls,1,92,,1996
92,22,5,25,30,77,0.39,28,42,0.667,2,1,240,20,27,92,10,15,4,21,0.19,45,Bulls,1,93,,1996
93,28,2,23,38,76,0.5,25,34,0.735,3,0,240,10,29,108,9,9,7,15,0.467,33,Bulls,1,94,,1996
94,22,3,21,32,80,0.4,16,19,0.8420000000000001,4,0,240,15,24,86,5,17,6,24,0.25,36,Bulls,0,95,,1996
95,18,2,25,29,77,0.377,17,23,0.7390000000000001,5,0,240,15,27,78,3,13,3,26,0.115,40,Bulls,0,96,,1996
96,20,4,27,31,78,0.397,16,20,0.8,6,0,240,24,15,87,14,19,9,25,0.36,51,Bulls,1,97,,1996
97,23,7,26,34,76,0.447,10,15,0.667,1,1,240,10,17,84,9,14,6,16,0.375,36,Bulls,1,98,,1997
98,26,4,30,32,69,0.46399999999999997,27,33,0.818,2,1,240,11,26,97,8,13,6,16,0.375,41,Bulls,1,99,,1997
99,20,8,27,33,75,0.44,15,21,0.7140000000000001,3,0,240,8,25,93,7,12,12,32,0.375,35,Bulls,0,100,,1997
100,17,4,28,32,76,0.42100000000000004,5,12,0.41700000000000004,4,0,240,10,19,73,7,8,4,19,0.21100000000000002,38,Bulls,0,101,,1997
101,17,5,32,32,72,0.444,20,30,0.667,5,0,240,10,25,90,8,8,6,15,0.4,42,Bulls,1,102,,1997
102,15,4,35,31,81,0.38299999999999995,23,30,0.767,6,1,240,15,28,90,7,13,5,14,0.35700000000000004,50,Bulls,1,103,,1997
103,14,8,32,34,82,0.415,14,16,0.875,1,0,265,9,19,85,8,14,3,16,0.188,41,Bulls,0,104,,1998
104,17,3,18,34,80,0.425,22,27,0.815,2,0,240,18,21,93,10,7,3,16,0.188,36,Bulls,1,105,,1998
105,25,5,39,37,76,0.48700000000000004,18,26,0.6920000000000001,3,1,240,11,19,96,13,17,4,11,0.364,50,Bulls,1,106,,1998
106,18,2,27,27,73,0.37,27,40,0.675,4,1,240,17,19,86,7,9,5,15,0.33299999999999996,44,Bulls,1,107,,1998
107,19,5,20,29,75,0.387,16,20,0.8,5,1,240,13,25,81,11,16,7,20,0.35,33,Bulls,0,108,,1998
108,17,4,17,34,67,0.507,15,19,0.789,6,0,240,5,23,87,11,9,4,10,0.4,22,Bulls,1,109,,1998
109,25,6,33,32,67,0.478,19,31,0.613,1,1,240,4,18,89,9,14,6,15,0.4,37,Spurs,1,110,,1999
110,18,9,36,27,63,0.429,24,35,0.6859999999999999,2,1,240,5,13,80,5,12,2,12,0.16699999999999998,41,Spurs,1,111,,1999
111,15,3,26,29,65,0.446,18,22,0.818,3,0,240,10,27,81,6,20,5,13,0.385,36,Spurs,0,112,,1999
112,23,9,35,35,75,0.467,23,28,0.821,4,0,240,14,25,96,5,17,3,9,0.33299999999999996,49,Spurs,1,113,,1999
113,20,2,31,27,67,0.40299999999999997,19,25,0.76,5,0,240,9,17,78,7,14,5,13,0.385,40,Spurs,1,114,,1999
114,25,6,34,45,88,0.511,11,19,0.579,1,1,240,14,19,104,9,11,3,12,0.25,48,Lakers,1,115,,2000
115,29,8,36,36,75,0.48,32,57,0.561,2,1,240,11,26,111,3,9,7,15,0.467,47,Lakers,1,116,,2000
116,23,4,25,38,76,0.5,8,19,0.42100000000000004,3,0,240,8,27,91,9,16,7,17,0.41200000000000003,33,Lakers,0,117,,2000
117,20,4,28,48,93,0.516,20,30,0.667,4,0,265,14,31,120,6,12,4,12,0.33299999999999996,42,Lakers,1,118,,2000
118,18,2,21,36,90,0.4,11,21,0.524,5,0,240,13,33,87,9,12,4,19,0.21100000000000002,34,Lakers,0,119,,2000
119,25,7,31,43,90,0.478,20,33,0.606,6,1,240,13,24,116,5,5,10,17,0.588,44,Lakers,1,120,,2000
120,23,9,28,40,90,0.444,15,27,0.556,1,1,265,16,22,101,14,19,6,13,0.462,44,Lakers,0,121,,2001
121,29,13,37,38,81,0.469,18,26,0.6920000000000001,2,1,240,15,24,98,7,16,4,16,0.25,52,Lakers,1,122,,2001
122,18,6,30,35,75,0.467,22,25,0.88,3,0,240,10,26,96,8,13,4,10,0.4,40,Lakers,1,123,,2001
123,24,6,31,36,72,0.5,18,32,0.563,4,0,240,12,22,100,6,14,10,19,0.526,43,Lakers,1,124,,2001
124,21,10,33,32,71,0.451,32,45,0.711,5,0,240,14,22,108,6,12,12,17,0.706,47,Lakers,1,125,,2001
125,21,8,33,33,72,0.45799999999999996,32,45,0.711,1,1,240,17,20,99,8,16,1,10,0.1,50,Lakers,1,126,,2002
126,26,7,35,39,78,0.5,19,24,0.792,2,1,240,12,21,106,6,16,9,16,0.563,47,Lakers,1,127,,2002
127,17,10,33,37,68,0.544,24,35,0.6859999999999999,3,0,240,7,22,106,7,19,8,16,0.5,40,Lakers,1,128,,2002
128,28,3,32,37,71,0.521,28,37,0.757,4,0,240,7,15,113,7,9,11,19,0.579,39,Lakers,1,129,,2002
129,24,12,37,39,79,0.494,19,28,0.679,1,1,240,10,20,101,7,12,4,10,0.4,47,Spurs,1,130,,2003
130,17,7,29,33,68,0.485,14,25,0.56,2,1,240,14,16,85,6,21,5,13,0.385,43,Spurs,0,131,,2003
131,19,8,29,28,67,0.418,23,35,0.657,3,0,240,9,17,84,10,17,5,10,0.5,38,Spurs,1,132,,2003
132,14,10,31,26,90,0.289,20,24,0.833,4,0,240,22,27,76,10,11,4,18,0.222,53,Spurs,0,133,,2003
133,15,9,31,33,69,0.478,24,29,0.828,5,0,240,8,29,93,10,15,3,9,0.33299999999999996,39,Spurs,1,134,,2003
134,20,13,44,34,74,0.45899999999999996,17,25,0.68,6,1,240,11,14,88,4,19,3,15,0.2,55,Spurs,1,135,,2003
135,19,4,27,30,65,0.462,21,30,0.7,1,0,240,9,17,87,9,14,6,12,0.5,36,Pistons,1,136,,2004
136,19,6,27,32,81,0.395,21,31,0.677,2,0,265,19,23,91,6,14,6,12,0.5,46,Pistons,0,137,,2004
137,17,4,36,31,76,0.408,21,30,0.7,3,1,240,15,16,88,11,11,5,15,0.33299999999999996,51,Pistons,1,138,,2004
138,16,4,36,29,68,0.426,28,41,0.6829999999999999,4,1,240,9,20,88,5,12,2,13,0.154,45,Pistons,1,139,,2004
139,18,2,30,35,76,0.461,28,39,0.718,5,1,240,20,27,100,8,12,2,14,0.14300000000000002,50,Pistons,1,140,,2004
140,12,8,34,34,79,0.43,12,15,0.8,1,1,240,15,17,84,3,15,4,13,0.308,49,Spurs,1,141,,2005
141,23,7,27,29,62,0.46799999999999997,28,34,0.8240000000000001,2,1,240,9,19,97,11,15,11,24,0.45799999999999996,36,Spurs,1,142,,2005
142,16,3,27,29,67,0.433,13,20,0.65,3,0,240,10,21,79,7,18,8,17,0.47100000000000003,37,Spurs,0,143,,2005
143,15,9,32,26,70,0.371,14,24,0.583,4,0,240,12,21,71,1,17,5,15,0.33299999999999996,44,Spurs,0,144,,2005
144,20,3,26,38,82,0.46299999999999997,12,21,0.5710000000000001,5,0,265,19,26,96,3,16,8,20,0.4,45,Spurs,1,145,,2005
